ID,Original Hook,Original Tone,Tone v2,Fit for Chị Hiền,Stage,Calendar Stage Match,Best Format,Hook Type,Risk,Adapt Direction,Chị Hiền Hook,Use Case,Note
H011,Bạn muốn tiếp tục quen với nỗi đau này đến bao giờ?,Insightful,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn muốn tiếp tục quen với nỗi đau này đến bao giờ?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H012,"Thực ra bạn cần thay đổi, hay chỉ cần trung thực hơn?",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Thực ra bạn cần thay đổi, hay chỉ cần trung thực hơn?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H013,Bạn đã bỏ quên mình bao lâu rồi mà chưa nhận ra?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đã bỏ quên mình bao lâu rồi mà chưa nhận ra?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H014,Bạn sống theo tiêu chuẩn của mình hay của người khác?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn sống theo tiêu chuẩn của mình hay của người khác?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H015,"Bạn có thật sự ổn, hay chỉ quen với việc chịu đựng?",Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có thật sự ổn, hay chỉ quen với việc chịu đựng?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H016,Bạn đang chọn an toàn hay chọn trung thực với trái tim?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang chọn an toàn hay chọn trung thực với trái tim?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H017,"Mỗi lần bạn thoả hiệp, bạn đang dạy người khác cách đối xử với mình.",Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Mỗi lần bạn thoả hiệp, bạn đang dạy người khác cách đối xử với mình.","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H018,"Nếu hôm nay là ngày cuối cùng sống kiểu này, bạn làm gì khác?",Confrontational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu hôm nay là ngày cuối cùng sống kiểu này, bạn làm gì khác?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H019,Bạn có đang sống nhỏ hơn tiềm năng thật của bản thân?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang sống nhỏ hơn tiềm năng thật của bản thân?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H020,Bạn còn chấp nhận [nỗi đau / thói quen] này thêm bao lâu nữa?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn còn chấp nhận [nỗi đau / thói quen] này thêm bao lâu nữa?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H021,Thứ bạn gọi là 'tính cách' có khi chỉ là thói quen cũ.,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Thứ bạn gọi là 'tính cách' có khi chỉ là thói quen cũ.,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H022,"Không phải bạn thiếu thời gian, bạn thiếu một lý do đủ lớn.",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Không phải bạn thiếu thời gian, bạn thiếu một lý do đủ lớn.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H023,"Bao nhiêu quyết định của bạn xuất phát từ nỗi sợ, không phải mong muốn?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Bao nhiêu quyết định của bạn xuất phát từ nỗi sợ, không phải mong muốn?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H024,Phiên bản bình an hơn của bạn sẽ chọn điều gì hôm nay?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Phiên bản bình an hơn của bạn sẽ chọn điều gì hôm nay?,"Giá trị bản thân, bản sắc, thay đổi","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H025,Bạn có đang dùng 'bận' để trốn việc nhìn lại chính mình?,Inspirational,Inspirational,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang dùng 'bận' để trốn việc nhìn lại chính mình?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H026,"Bạn không mắc kẹt, bạn chỉ chưa dám nói 'đủ rồi'.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không mắc kẹt, bạn chỉ chưa dám nói 'đủ rồi'.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H027,"Bạn đang xây cuộc đời mình, hay đang vá lại cuộc đời người khác?",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn đang xây cuộc đời mình, hay đang vá lại cuộc đời người khác?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H028,Khi nào bạn mới dừng xin phép được sống đúng với mình?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Khi nào bạn mới dừng xin phép được sống đúng với mình?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H029,Bạn muốn sống 'an toàn' hay sống 'thật sự'?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn muốn sống 'an toàn' hay sống 'thật sự'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H030,"Nếu không đổi hướng, bạn đang đi tới đâu?",Inspirational,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu không đổi hướng, bạn đang đi tới đâu?","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H031,Bạn có đang sống theo kỳ vọng của người khác hơn là của mình?,Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang sống theo kỳ vọng của người khác hơn là của mình?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H032,Bao lâu rồi bạn chưa làm điều gì chỉ vì chính bạn?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bao lâu rồi bạn chưa làm điều gì chỉ vì chính bạn?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H033,Bạn đang dùng tiền để bù cho khoảng trống nào bên trong?,Confrontational,Confrontational,ADAPT,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn đang dùng tiền để bù cho khoảng trống nào bên trong?,"Công việc, tự do, kỷ luật, nhịp sống",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H034,Điều làm bạn mất ngủ nhiều hơn: nợ tiền hay nợ chính mình?,Gentle,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Điều làm bạn mất ngủ nhiều hơn: nợ tiền hay nợ chính mình?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H035,"Bạn có thật sự nghèo, hay chỉ đang nghĩ mình 'chỉ là…'?",Inspirational,Inspirational,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn có thật sự nghèo, hay chỉ đang nghĩ mình 'chỉ là…'?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H036,Thu nhập của bạn hiếm khi vượt quá hình ảnh bạn thấy về bản thân.,Insightful,Insightful,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Thu nhập của bạn hiếm khi vượt quá hình ảnh bạn thấy về bản thân.,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H037,"Bạn đang làm việc vì tiền, hay dùng tiền để phục vụ cuộc đời mình?",Reflective,Reflective,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn đang làm việc vì tiền, hay dùng tiền để phục vụ cuộc đời mình?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H038,"Bạn không sai khi muốn nhiều tiền hơn, sai là nghĩ mình không xứng.",Confrontational,Confrontational,ADAPT,30 bài đầu,D22-D30,Short FB / Reel 60s,Reflective insight,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn không sai khi muốn nhiều tiền hơn, sai là nghĩ mình không xứng.","Công việc, tự do, kỷ luật, nhịp sống",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H039,"Nếu công việc không nuôi nổi giấc mơ, đã đến lúc nâng cấp cả hai.",Gentle,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu công việc không nuôi nổi giấc mơ, đã đến lúc nâng cấp cả hai.","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H040,Bạn đang xây tài sản hay chỉ trả nợ cho những niềm tin cũ?,Inspirational,Inspirational,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đang xây tài sản hay chỉ trả nợ cho những niềm tin cũ?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H041,Tự do của bạn đáng giá bao nhiêu giờ 'hy sinh' mỗi ngày?,Insightful,Confrontational,ADAPT,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Tự do của bạn đáng giá bao nhiêu giờ 'hy sinh' mỗi ngày?,"Công việc, tự do, kỷ luật, nhịp sống",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H042,Tiền bạn kiếm ra đang mua điều gì: tự do hay mệt mỏi?,Reflective,Reflective,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Tiền bạn kiếm ra đang mua điều gì: tự do hay mệt mỏi?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H043,Bạn có đang đợi cả tuổi trẻ chỉ để đợi lương về?,Confrontational,Confrontational,ADAPT,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang đợi cả tuổi trẻ chỉ để đợi lương về?,"Công việc, tự do, kỷ luật, nhịp sống",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H044,Bạn có đang dùng sự nghiệp để trốn việc chữa lành bên trong?,Gentle,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang dùng sự nghiệp để trốn việc chữa lành bên trong?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H045,Thu nhập đổi khi bạn ngừng giới thiệu mình bằng 'em chỉ là…'.,Inspirational,Inspirational,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Thu nhập đổi khi bạn ngừng giới thiệu mình bằng 'em chỉ là…'.,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H046,"Bạn muốn kiếm thêm, hay muốn kiếm đúng với giá trị của mình?",Insightful,Insightful,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn muốn kiếm thêm, hay muốn kiếm đúng với giá trị của mình?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H047,Tham vọng của bạn là của bạn hay được 'cài' bởi ai đó?,Reflective,Reflective,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Tham vọng của bạn là của bạn hay được 'cài' bởi ai đó?,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H048,Tự do tài chính bắt đầu từ tự do trong suy nghĩ về bản thân.,Insightful,Insightful,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Tự do tài chính bắt đầu từ tự do trong suy nghĩ về bản thân.,"Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H049,Bạn có dám đòi hỏi nhiều hơn từ cuộc đời này không?,Gentle,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có dám đòi hỏi nhiều hơn từ cuộc đời này không?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H050,"Nếu không giới hạn, bạn muốn sống cuộc đời tài chính như thế nào?",Inspirational,Gentle,PASS,30 bài đầu,D22-D30,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu không giới hạn, bạn muốn sống cuộc đời tài chính như thế nào?","Công việc, tự do, kỷ luật, nhịp sống","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H051,"Bạn không khó yêu, bạn chỉ đang ở sai chỗ và sai người.",Insightful,Insightful,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không khó yêu, bạn chỉ đang ở sai chỗ và sai người.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H052,Bạn có đang tự thu nhỏ mình cho vừa với nỗi sợ của người khác?,Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang tự thu nhỏ mình cho vừa với nỗi sợ của người khác?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H053,Ranh giới của bạn đang bảo vệ ai: bạn hay người khác?,Confrontational,Confrontational,ADAPT,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Ranh giới của bạn đang bảo vệ ai: bạn hay người khác?,"Bình yên, kiệt sức, ranh giới cảm xúc",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H054,Bạn đối xử với mình ra sao khi không có ai nhìn thấy?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn đối xử với mình ra sao khi không có ai nhìn thấy?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H055,Bạn có đang gọi 'lo lắng' là 'tình yêu'?,Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bạn có đang gọi 'lo lắng' là 'tình yêu'?,"Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H056,"Nếu phải đổi bình yên để giữ một người, đó có đáng không?",Insightful,Gentle,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Nếu phải đổi bình yên để giữ một người, đó có đáng không?","Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H057,Bao nhiêu lần bạn nói 'không sao đâu' trong khi rất không ổn?,Reflective,Reflective,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Bao nhiêu lần bạn nói 'không sao đâu' trong khi rất không ổn?,"Bình yên, kiệt sức, ranh giới cảm xúc","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H058,Bạn có đang nhầm lẫn quen thuộc với an toàn?,Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,Có khi bạn có đang nhầm lẫn quen thuộc với an toàn?,"Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
H059,Mối quan hệ này đang giúp bạn lớn lên hay thu nhỏ lại?,Gentle,Gentle,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hợp,Giữ nguyên hoặc làm mềm nhẹ,Mối quan hệ này đang giúp bạn lớn lên hay thu nhỏ lại?,"Ranh giới, quan hệ, năng lượng xung quanh","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H060,"Người cần bạn nhất bây giờ là chính bạn, không phải ai khác.",Inspirational,Inspirational,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Người cần bạn nhất bây giờ là chính bạn, không phải ai khác.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H061,"Bạn không drama, bạn chỉ đang chạm vào vết thương cũ.",Insightful,Insightful,PASS,30 bài đầu,D1-D7,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không drama, bạn chỉ đang chạm vào vết thương cũ.","Chữa lành, quá khứ, tự tha thứ","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H062,"Bạn không ích kỷ khi chọn mình, bạn chỉ thôi phản bội bản thân.",Reflective,Reflective,PASS,30 bài đầu,D8-D14,Short FB / Reel 60s,Reflective insight,Hợp,Giữ nguyên hoặc làm mềm nhẹ,"Bạn không ích kỷ khi chọn mình, bạn chỉ thôi phản bội bản thân.","Tự soi, sống thật, lựa chọn cuộc đời","Có thể dùng gần nguyên, vẫn cần bám insight thật."
H063,"Bạn có đang làm bạn với chính mình, hay chỉ là người phán xét?",Confrontational,Confrontational,ADAPT,30 bài đầu,D8-D14,Short FB / Reel 60s,Câu hỏi nội tâm,Hơi gắt,Làm mềm: đổi ngôi bạn → mình + đổi structure chất vấn → mời quan sát,"Có khi bạn có đang làm bạn với chính mình, hay chỉ là người phán xét?","Tự soi, sống thật, lựa chọn cuộc đời",Á tốt nhưng cần làm mềm để không phán xét/coachy. Áp đầy đủ Rule #2 (đổi ngôi + structure).
